g	FS	FC
21.8	0.007479627656391319	0.005983702125113011
21.9	0.0075220741505120925	0.006017659320409763
22.0	0.007564856686138377	0.006051885348910657
22.1	0.007607981139679976	0.006086384911743847
22.2	0.007651453368389682	0.006121162694711635
22.299999999999997	0.007695279211034078	0.006156223368827263
22.400000000000002	0.007739464488549008	0.006191571590839162
22.5	0.007784015004676514	0.0062272120037413226
22.599999999999998	0.007828936546590337	0.006263149237272336
22.700000000000003	0.007874234885502873	0.006299387908402232
22.8	0.007919915777256481	0.006335932621805207
22.9	0.007965984962904238	0.006372787970323257
23.0	0.008012448169270714	0.006409958535416593
23.1	0.008059311109501532	0.0064474488876011815
23.2	0.008106579483598053	0.006485263586878509
23.299999999999997	0.008154258978938289	0.006523407183150587
