kappa	infid_local	infid_remote	ps_local	ps_remote
9.15	0.08194665386089128	0.13624145790206765	0.4400034322800258	0.6622171026313941
9.200000000000001	0.08295876733674068	0.13724515804241033	0.4386439758834724	0.6620011778343827
9.25	0.0839761797899381	0.13824779992232528	0.43729313820705823	0.6617889807873072
9.3	0.08499887134720008	0.13924935470246713	0.43595087118166614	0.6615804835198669
9.350000000000001	0.08602682193127453	0.14024979406594051	0.4346171269017216	0.661375658059182
9.399999999999999	0.08706001126065677	0.141249090211927	0.43329185762938605	0.6611744764391195
9.45	0.08809841884936842	0.14224721584937206	0.4319750157985288	0.6609769107091906
9.5	0.08914202400680438	0.14324414419073084	0.43066655401848875	0.6607829329430237
9.549999999999999	0.09019080583763461	0.14423984894577413	0.4293664250776274	0.6605925152464449
9.6	0.09124474324177179	0.14523430431545137	0.428074581946687	0.6604056297651713
9.65	0.09230381491439243	0.14622748498581006	0.42679097778196284	0.6602222486921374
9.7	0.09336799934601969	0.14721936612197517	0.4255155659282903	0.6600423442744724
9.75	0.09443727482265918	0.14820992336218097	0.4242482999218635	0.6598658888201338
9.8	0.09551161942599218	0.1491991328118628	0.422989133492884	0.659692854704224
9.85	0.09659101103361967	0.15018697103780032	0.4217380205680509	0.6595232143749906
9.9	0.09767542731936252	0.15117341506231807	0.4204949152728989	0.6593569403595302
9.95	0.09876484575360966	0.15215844235753972	0.41925977193398656	0.6591940052692081
10.0	0.09985924360372012	0.1531420308396957	0.4180325450809471	0.659034381804802
10.049999999999999	0.10095859793447137	0.15412415886348507	0.41681318944840084	0.6588780427613818
10.1	0.10206288560855936	0.15510480521649017	0.41560165997773846	0.6587249610329405
10.149999999999999	0.10317208328714378	0.15608394911364376	0.41439791181878083	0.658575109616778
10.2	0.10428616743044139	0.15706157019175004	0.41320190033131626	0.6584284616176578
10.25	0.10540511429836441	0.15803764850405533	0.41201358108652714	0.6582849902517364
10.3	0.10652889995120485	0.15901216451487166	0.4108329098683019	0.6581446688502827
10.35	0.10765750025036236	0.15998509909425318	0.409659842674444	0.6580074708631908
10.4	0.10879089085911475	0.1609564335127196	0.4084943357177779	0.6578733698622934
10.45	0.10992904724343333	0.16192614943603478	0.4073363454271597	0.6577423395444935
10.5	0.1110719446728371	0.16289422892003402	0.40618582844839113	0.6576143537347061
10.549999999999999	0.11221955822129104	0.1638606544054998	0.4050427416450474	0.6574893863886354
10.600000000000001	0.11337186276814282	0.1648254087130887	0.4039070420992157	0.6573674115953765
10.649999999999999	0.114528832999099	0.1657884750383094	0.40277868711215303	0.6572484035798662
