infid	kappa_ratio	coop	error
2.049074687704433e-9	0.00010452532136995263	9565.059798463963	0.00036580584830891993
2.2739657934423008e-9	0.00011011121332804574	9079.727189952744	0.00038535287337715385
2.52353915541903e-9	0.00011599557270669525	8619.018687744107	0.00040594413974992527
2.8005039398593112e-9	0.00012219434790317063	8181.684574285065	0.0004276354235133173
3.1078661866246193e-9	0.00012872432832533587	7766.539273109396	0.0004504854395471769
3.4489622269262554e-9	0.0001356032076721414	7372.456822716016	0.0004745560624743739
3.8274944325067395e-9	0.00014284962123600753	6998.368578841804	0.0004999124566472668
4.247571516735604e-9	0.00015048319887955852	6643.260118376172	0.0005266232609251187
4.713753165574985e-9	0.00015852461862342349	6306.1684642024475	0.0005547607755161943
5.231099331481914e-9	0.00016699565917832615	5986.179602513806	0.0005844011450558684
5.805225522514945e-9	0.0001759192649583019	5682.425751989299	0.0006156245852716458
6.4423635315336014e-9	0.0001853196039722782	5394.083191228863	0.0006485155846318591
7.149428937758273e-9	0.0001952221312278013	5120.370059740396	0.0006831631251860149
7.934096712958194e-9	0.00020565366498093152	4860.544025620557	0.0007196609482311711
8.804883599999869e-9	0.00021664244637187302	4613.900608339102	0.000758107761723803
9.771241482603443e-9	0.00022821822813168247	4379.770939975038	0.0007986075492676381
1.0843659636883274e-8	0.00024041234975991088	4157.520095363884	0.0008412698316033751
1.2033778418185648e-8	0.0002532578201246416	3946.5453973656054	0.0008862099538968771
1.3354515604468986e-8	0.00026678940668278806	3746.274762607038	0.0009335493960018759
1.4820207061561064e-8	0.0002810437336716598	3556.1650831905354	0.0009834161138856379
1.6446761730293247e-8	0.0002960593742981077	3375.700849266409	0.001035944859828719
1.8251834932314637e-8	0.0003118769605434668	3204.392669267496	0.0010912775639794203
2.025501943947461e-8	0.00032853928707832214	3041.7760089301128	0.0011495636950186183
2.247805830357663e-8	0.0003460914280517535	2887.4099042824687	0.0012109606655348326
2.4945081333882513e-8	0.00036458086172630466	2740.8757375386103	0.001275634264487402
2.7682866332590095e-8	0.0003840575924919376	2601.776151153665	0.0013437590801025356
3.0721129973265704e-8	0.0004045742870386615	2469.7339485898647	0.001415518971855434
3.4092850653699713e-8	0.00042618641752656394	2344.391060052191	0.0014911075664362228
3.7834626209765077e-8	0.000448952408397818	2225.407585513824	0.001570728765913798
4.198707082014863e-8	0.00047293379095814103	2112.4608803994493	0.0016545972824703048
4.6595256653070294e-8	0.0004981953728593336	2005.2446563696847	0.0017429392245833508
5.17092024754362e-8	0.0005248054076237851	1903.468170626903	0.001835992682612697
5.738441644087544e-8	0.0005528357766364511	1806.855436390484	0.0019340083571715017
6.368249949595395e-8	0.0005823621855528538	1715.1444589086261	0.002037250236991972
7.06718127352346e-8	0.0006134643599894352	1628.086546539104	0.002145996273276607
7.842822058456989e-8	0.0006462262636205418	1545.4456181916971	0.002260539131275885
8.70359135873855e-8	0.0006807363186077664	1466.9975731648751	0.0023811869487795345
9.658832245129645e-8	0.0007170876418322036	1392.5296804236336	0.002508264148479711
1.0718913190377322e-7	0.0007553782913781726	1321.8400036298633	0.002642112284652165
1.1895340679135558e-7	0.0007957115293087957	1254.7368489289854	0.002783090945093658
1.320088400813546e-7	0.0008381960920987863	1191.0382513429138	0.0029315786779529063
1.4649713986347734e-7	0.0008829464820095945	1130.571475593844	0.003087973989681636
1.6257556667564899e-7	0.000930083267252857	1073.172551973387	0.003252696371398245
1.8041864091600246e-7	0.000979733401991978	1018.685829396871	0.003426187392023383
2.0022003721642534e-7	0.001032030561339603	966.9635534649027	0.0036089118409923238
2.2219468609474546e-7	0.0010871154919835924	917.8654672608536	0.003801358922435605
2.465811075325064e-7	0.0011451363840803142	871.258429215943	0.004004043520189238
2.7364399968199393e-7	0.0012062492595609209	827.0160529209392	0.004217507516291463
3.0367711179035695e-7	0.0012706183806354687	785.0183646327188	0.004442321175764707
3.370064329821787e-7	0.0013384166802672404	745.1514773712555	0.004679084603405048
